ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
c_u0063u0327,ç,,voiceless palatal sibilant fricative consonant,ç,voiceless palatal sibilant fricative consonant
u_u0075u0330u0303,ṵ̃,,nasalized creaky rounded close back vowel,ṵ̃,nasalized creaky rounded close back vowel
n_u006Eu02D0,nː,,long voiced alveolar nasal consonant,nː,long voiced alveolar nasal consonant
n_u004E,N,,voiced uvular nasal consonant,ɴ,voiced uvular nasal consonant
d_u0064u0330,d̰,,creaky voiced alveolar stop consonant,d̰,creaky voiced alveolar stop consonant
u_u028A,ʊ,,rounded near-close near-back vowel,ʊ,rounded near-close near-back vowel
a_u0251u02D0,ɑː,,long unrounded open back vowel,ɑː,long unrounded open back vowel
tjh_u0074u02B2u02B0,tʲʰ,,palatalized aspirated voiceless alveolar stop consonant,tʲʰ,palatalized aspirated voiceless alveolar stop consonant
b_u0253,ɓ,,voiced bilabial implosive consonant,ɓ,voiced bilabial implosive consonant
r_u027B,ɻ,,voiced retroflex approximant consonant,ɻ,voiced retroflex approximant consonant
t_u0074u02D0,tː,,long voiceless alveolar stop consonant,tː,long voiceless alveolar stop consonant
b_u03B2u031E,β̞,,voiced bilabial approximant consonant,β̞,voiced bilabial approximant consonant
m_u006Du0330,m̰,,creaky voiced bilabial nasal consonant,m̰,creaky voiced bilabial nasal consonant
b_u0062u02D0,bː,,long voiced bilabial stop consonant,bː,long voiced bilabial stop consonant
sj_u0073u02B2,sʲ,,palatalized voiceless alveolar sibilant fricative consonant,sʲ,palatalized voiceless alveolar sibilant fricative consonant
khw_u03C7u02B7,χʷ,,labialized voiceless uvular fricative consonant,χʷ,labialized voiceless uvular fricative consonant
u_u0075u02D0,uː,,long rounded close back vowel,uː,long rounded close back vowel
s_u0073u02BC,sʼ,,voiceless alveolar ejective sibilant fricative consonant,sʼ,voiceless alveolar ejective sibilant fricative consonant
hc_u02B0u0063,ʰc,,pre-aspirated voiceless palatal stop consonant,ʰc,pre-aspirated voiceless palatal stop consonant
ae_u00E6u0303u02D0,æ̃ː,,long nasalized unrounded near-open front vowel,æ̃ː,long nasalized unrounded near-open front vowel
rj_u027Eu02B2,ɾʲ,,palatalized voiced alveolar tap consonant,ɾʲ,palatalized voiced alveolar tap consonant
o_u006Fu0330,o̰,,creaky rounded close-mid back vowel,o̰,creaky rounded close-mid back vowel
kw_u006Bu02B7,kʷ,,labialized voiceless velar stop consonant,kʷ,labialized voiceless velar stop consonant
n_u006E,n,,voiced alveolar nasal consonant,n,voiced alveolar nasal consonant
p_u0070u02BC,pʼ,,voiceless bilabial ejective stop consonant,pʼ,voiceless bilabial ejective stop consonant
i_u0069u02D0,iː,,long unrounded close front vowel,iː,long unrounded close front vowel
i_u026Au0303,ɪ̃,,nasalized unrounded near-close near-front vowel,ɪ̃,nasalized unrounded near-close near-front vowel
n_u006Eu0325,n̥,,devoiced voiced alveolar nasal consonant,n̥,devoiced voiced alveolar nasal consonant
a_u0061u0330u0303,ã̰,,nasalized creaky unrounded open front vowel,ã̰,nasalized creaky unrounded open front vowel
tb_u0074u032Au0299,t̪ʙ,,NA,,
o_u006Fu0303,õ,,nasalized rounded close-mid back vowel,õ,nasalized rounded close-mid back vowel
ae_u00E6,æ,,unrounded near-open front vowel,æ,unrounded near-open front vowel
j_u025F,ɟ,,voiced palatal stop consonant,ɟ,voiced palatal stop consonant
m_u006D,m,,voiced bilabial nasal consonant,m,voiced bilabial nasal consonant
tsh_u0074u0283u02B0,tʃʰ,,aspirated voiceless post-alveolar sibilant affricate consonant,tʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant
r_u027A,ɺ,,voiced alveolar lateral tap consonant,ɺ,voiced alveolar lateral tap consonant
nts_u006Eu0074u0073,nts,,pre-nasalized voiceless alveolar sibilant affricate consonant,ⁿts,pre-nasalized voiceless alveolar sibilant affricate consonant
_u0259u02D0,əː,,long unrounded mid central vowel,əː,long unrounded mid central vowel
ae_u00E6u02D0,æː,,long unrounded near-open front vowel,æː,long unrounded near-open front vowel
hd_u02B0u0064,ʰd,,pre-aspirated voiced alveolar stop consonant,ʰd,pre-aspirated voiced alveolar stop consonant
a_u0061,a,,unrounded open front vowel,a,unrounded open front vowel
u_u0075u0330,ṵ,,creaky rounded close back vowel,ṵ,creaky rounded close back vowel
z_u0292,ʒ,,voiced post-alveolar sibilant fricative consonant,ʒ,voiced post-alveolar sibilant fricative consonant
ii_u0268u0069,ɨi,,from unrounded close central to unrounded close front diphthong,ɨi,from unrounded close central to unrounded close front diphthong
o_u006Fu02D0,oː,,long rounded close-mid back vowel,oː,long rounded close-mid back vowel
a_u0252u0303,ɒ̃,,nasalized rounded open back vowel,ɒ̃,nasalized rounded open back vowel
i_u0069u0330u0303,ḭ̃,,nasalized creaky unrounded close front vowel,ḭ̃,nasalized creaky unrounded close front vowel
w_u0077u0303,w̃,,nasalized voiced labio-velar approximant consonant,w̃,nasalized voiced labio-velar approximant consonant
a_u0252u02D0,ɒː,,long rounded open back vowel,ɒː,long rounded open back vowel
ngk_u014Bu006B,ŋk,,pre-nasalized voiceless velar stop consonant,ⁿk,pre-nasalized voiceless velar stop consonant
a_u0250u0303,ɐ̃,,nasalized unrounded near-open central vowel,ɐ̃,nasalized unrounded near-open central vowel
r_u0072u0325,r̥,,devoiced voiced alveolar trill consonant,r̥,devoiced voiced alveolar trill consonant
_u0259u0330,ə̰,,creaky unrounded mid central vowel,ə̰,creaky unrounded mid central vowel
d_u0257u0325,ɗ̥,,devoiced voiced dental implosive consonant,ɗ̥,devoiced voiced dental implosive consonant
t_u0074,t,,voiceless alveolar stop consonant,t,voiceless alveolar stop consonant
e_u0065,e,,unrounded close-mid front vowel,e,unrounded close-mid front vowel
w_u0270,ɰ,,voiced velar approximant consonant,ɰ,voiced velar approximant consonant
g_u0261u0330,ɡ̰,,creaky voiced velar stop consonant,g̰,creaky voiced velar stop consonant
k_u006Bu0330,k̰,,creaky voiceless velar stop consonant,k̰,creaky voiceless velar stop consonant
e_u0065u02D0,eː,,long unrounded close-mid front vowel,eː,long unrounded close-mid front vowel
