ID	Name	SAPHON_Code	Family	Country
Abipon	Abipon	axb	Guaicuru	Argentina
Achagua	Achagua	aca	Arawak	Colombia
Ache	Aché	guq	Tupí	Paraguay
Achuar	Achuar-Shiwiar	acu	Jivaroan	Peru, Ecuador
Aguaruna	Aguaruna	agr	Jivaroan	Peru
Aikana	Aikanã	tba	Isolate	Brazil
Aiwa	Aʔɨwa	ash	Isolate	Peru
Akuntsu	Akuntsú	aqz	Tupí	Brazil
Akurio	Akurio	ako	Carib	Suriname
AlacalufeC	Alacalufe (Central)	alc_cnt	Alacalufan	Chile
AlacalufeS	Alacalufe (Southern)	alc_sth	Alacalufan	Chile
Amahuaca	Amahuaca	amc	Panoan	Peru, Brazil
Amarakaeri	Amarakaeri	amr	Harakmbet	Peru
Amundava	Amundava	adw	Tupí	Brazil
AncashQ	Ancash Quechua (Sihuas and Corongo dialects)	qwa, qws	Quechua	Peru
Andoa	Andoa	anb	Zaparoan	Peru
Andoke	Andoke	ano	Isolate	Colombia
Apalai	Apalaí	apy	Carib	Brazil
Apiaka	Apiaká	api	Tupí	Brazil
Apinaye	Apinayé	apn	Macro-Ge	Brazil
Apurina	Apurinã	apu	Arawak	Brazil
Arabela	Arabela	arl	Zaparoan	Peru
Araona	Araona	aro	Tacanan	Bolivia
Shawa	Arara do Acre	adc	Panoan	Brazil
AraraMG	Arára do Mato Grosso	axg	Isolate	Brazil
AraraPara	Arára, Pará	aap	Carib	Brazil
Arawete	Araweté	awt	Tupí	Brazil
Arikapu	Arikapú	ark	Macro-Ge	Brazil
Ashaninka	Asháninka	cni	Arawak	Peru
AsheninkaA	Ashéninka (Apurucayali dialect)	cpc	Arawak	Peru
AsheninkaPe	Ashéninka (Perené dialect)	prq	Arawak	Peru
AsheninkaPi	Ashéninka (Pichis dialect)	cpu	Arawak	Peru
AsheninkaUc	Ashéninka (Ucayali-Yurúa dialect)	cpb	Arawak	Brazil
AsuriniT	Asuriní do Tocantins	asu	Tupí	Brazil
AsuriniX	Asurini do Xingú	asn	Tupí	Brazil
AvaCanoeiro	Avá-Canoeiro	avv	Tupí	Brazil
AwaCuaiquer	Awa-Cuaiquer	kwi	Barbacoan	Ecuador, Colombia
Aweti	Awetí	awe	Tupí	Brazil
AyacuchoQ	Ayacucho Quechua	quy	Quechua	Peru
